					max_d_1 	 mean_d_1 	 max_plane_d_1 	 mean_plane_d_1 	 max_d_2 	 mean_d_2 	 max_plane_d_2 	 mean_plane_d_2


data1
mean100_max0		1.123351 	 0.573386  	  0.414758    	    0.078275    	 1.123351 	 0.573386 	   0.414758 	   0.078275
mean90_max10		1.118797 	 0.578898  	  0.327089    	    0.087401    	 1.128547 	 0.578051 	   0.343628 	   0.085472
mean80_max20		1.176599 	 0.605173  	  0.628009    	    0.181238    	 1.153339 	 0.592136 	   0.428358 	   0.110778
mean75_max25		1.150730 	 0.594877  	  0.417053    	    0.114434    	 1.117990 	 0.612628 	   0.550221 	   0.173402
mean70_max30		1.113150 	 0.600650  	  0.375661    	    0.125369    	 1.389880 	 0.674865 	   1.095589 	   0.296099
mean60_max40		1.116439 	 0.621170  	  0.543095    	    0.188907    	 1.174963 	 0.607202 	   0.475815 	   0.166059
mean50_max50		1.139361 	 0.594914  	  0.350986    	    0.131077    	 1.254071 	 0.673251 	   0.885344 	   0.261877
mean40_max60		1.167473 	 0.600018  	  0.565031    	    0.165640    	 1.177501 	 0.661576 	   0.700287 	   0.253299
mean30_max70		1.194789 	 0.586648  	  0.317490    	    0.099042    	 1.194789 	 0.586648 	   0.317490 	   0.099042
mean20_max80		1.149931 	 0.585156  	  0.346802    	    0.114422    	 1.149931 	 0.585156 	   0.346802 	   0.114422
mean10_max90		1.174466 	 0.606685  	  0.623762    	    0.177839    	 1.174466 	 0.606685 	   0.623762 	   0.177839

data19
mean100_max0		1.121008 	 0.567827  	  0.491424    	    0.081208    	 1.121008 	 0.567827 	   0.491424 	   0.081208
mean90_max10		1.120537 	 0.585079  	  0.473061    	    0.106260    	 1.198341 	 0.582262 	   0.370204 	   0.126595
mean80_max20		1.306453 	 0.577122  	  0.380418    	    0.136051    	 1.111486 	 0.604779 	   0.457262 	   0.133349
mean75_max25		1.188293 	 0.612588  	  0.579051    	    0.173788    	 1.184214 	 0.589123 	   0.466746 	   0.146570
mean70_max30		1.448755 	 0.693999  	  1.145874    	    0.332015    	 1.109268 	 0.580397 	   0.418531 	   0.123129
mean60_max40		1.161431 	 0.585981  	  0.378803    	    0.118239    	 1.117997 	 0.585397 	   0.430929 	   0.141471
mean50_max50		1.234570 	 0.643160  	  0.618286    	    0.240254    	 1.186168 	 0.611300 	   0.764239 	   0.172958
mean40_max60		1.176710 	 0.587823  	  0.357053    	    0.120031    	 1.138955 	 0.644875 	   0.704554 	   0.259743
mean30_max70		1.154010 	 0.587142  	  0.448082    	    0.134572    	 1.154010 	 0.587142 	   0.448082 	   0.134572
mean20_max80		1.149318 	 0.602206  	  0.603170    	    0.181782    	 1.186874 	 0.612767 	   0.503949 	   0.163574
mean10_max90		1.171448 	 0.600824  	  0.579134    	    0.178322    	 1.199384 	 0.594164 	   0.349716 	   0.137151

data20
mean100_max0		1.121573 	 0.575750  	  0.398711    	    0.078933    	 1.121573 	 0.575750 	   0.398711 	   0.078933
